Nr;DateTime;SPY Open;SPY High;SPY Low;SPY Close;SPY Volume;SPY Yield C/O;^GDAXI Open;^GDAXI High;^GDAXI Low;^GDAXI Close;^GDAXI Volume;^GDAXI Yield C/O
248;2004/03/29 12:00:000;111,63;114,84;111,58;114,64;45556500;2,660695249327557;3828,04;4008,08;3823,67;4007,6;0;4,5839635546062665
249;2004/04/05 12:00:000;114,46;115,41;113,74;114,37;37873200;-0,07866101878307978;4015,23;4065,71;4000,44;4013,53;0;-0,04234776043636513
252;2004/04/19 12:00:000;113,55;114,67;111,78;114,36;44644300;0,7108098902543674;4033,0;4129,14;3995,59;4103,62;0;1,7358995097686
253;2004/04/26 12:00:000;114,5;115,12;110,9;110,96;49507100;-3,1405046987718297;4105,97;4156,89;3968,86;3985,21;0;-2,9852003719376152
254;2004/05/03 12:00:000;111,37;113,26;109,96;109,96;47059000;-1,2741328107963983;3972,88;4029,32;3852,9;3895,64;0;-1,9633293453299345
255;2004/05/10 12:00:000;109,44;110,81;108,06;110,04;65185400;0,5467482182133615;3894,98;3894,98;3769,59;3803,1;0;-2,387202089068489
256;2004/05/17 12:00:000;108,89;111,18;108,41;109,81;45116100;0,8413401251652378;3801,47;3883,15;3710,02;3831,84;0;0,7957271549974575
257;2004/05/24 12:00:000;110,53;113,03;109,6;112,86;38856100;2,086113521812993;3842,41;3940,71;3809,98;3902,72;0;1,5573972032473484
260;2004/06/07 12:00:000;113,43;114,92;113,42;114,35;30734700;0,8078013897838947;3973,45;4040,77;3973,45;4014,56;0;1,0293017398177424
261;2004/06/14 12:00:000;113,82;114,45;112,87;113,63;31782700;-0,16706972450601085;4008,61;4018,6;3933,12;3999,79;0;-0,22026880690521
262;2004/06/21 12:00:000;113,75;114,94;112,67;113,84;33261600;0,07908959505370941;4008,5;4029,11;3916,42;4013,35;0;0,12091975269933274
263;2004/06/28 12:00:000;114,52;114,79;112,58;112,88;42764600;-1,442417268535575;4016,82;4101,52;3990,5;3998,77;0;-0,45037309817228965
266;2004/07/12 12:00:000;111,52;112,39;110,44;110,71;39161400;-0,7289777140838373;3911,54;3928,07;3837,63;3845,93;0;-1,6915712073698943
